id,y,pred
1,0,0
2,3,3
3,1,1
4,4,4
5,2,2
6,2,2
7,0,0
8,1,1
9,1,1
10,0,0
11,4,4
12,4,4
13,4,4
14,1,1
15,4,4
16,2,2
17,4,4
18,2,2
19,3,3
20,4,4
21,4,4
22,4,4
23,3,3
24,1,1
25,0,0
26,3,3
27,0,0
28,1,1
29,2,2
30,3,3
31,3,3
32,2,2
33,0,0
34,2,2
35,0,0
36,0,0
37,0,0
38,1,1
39,3,3
40,1,1
41,1,1
42,0,0
43,0,0
44,1,1
45,0,0
46,4,4
47,2,2
48,3,3
49,2,2
50,1,1
51,0,0
52,0,0
53,0,0
54,2,2
55,1,1
56,3,3
57,2,2
58,2,2
59,4,4
60,3,3
61,4,4
62,3,3
63,1,1
64,0,0
65,2,2
66,0,0
67,0,0
68,2,2
69,3,3
70,0,0
71,1,1
72,4,4
73,3,3
74,4,4
75,2,2
76,0,0
77,1,1
78,2,2
79,2,2
80,4,4
81,2,2
82,1,1
83,1,1
84,1,1
85,3,3
86,3,3
87,1,1
88,3,3
89,4,4
90,1,1
91,3,3
92,0,0
93,0,0
94,1,1
95,0,0
96,3,3
97,0,0
98,3,3
99,0,0
100,3,3
101,1,1
102,4,4
103,3,3
104,1,1
105,1,1
106,0,0
107,3,3
108,1,1
109,4,4
110,2,2
111,2,2
112,2,2
113,4,4
114,0,0
115,0,0
116,0,0
117,4,4
118,3,3
119,3,3
120,3,3
121,4,4
122,3,3
123,0,0
124,3,3
125,1,1
126,4,4
127,2,2
128,1,1
129,0,0
130,3,3
131,0,0
132,1,1
133,1,1
134,0,0
135,3,3
136,1,1
137,2,2
138,3,3
139,1,1
140,0,0
141,1,1
142,3,3
143,4,4
144,4,4
145,0,0
146,3,3
147,0,0
148,0,0
149,0,0
150,4,4
151,0,0
152,2,2
153,4,4
154,4,4
155,2,2
156,1,1
157,1,1
158,0,0
159,0,0
160,0,0
161,3,3
162,1,1
163,0,0
164,0,0
165,0,0
166,0,0
167,3,3
168,3,3
169,2,2
170,4,4
171,1,1
172,3,3
173,4,4
174,4,4
175,2,2
176,4,4
177,2,2
178,0,0
179,0,0
180,1,1
181,0,0
182,1,1
183,1,1
184,2,2
185,0,0
186,0,0
187,0,0
188,4,4
189,0,0
190,2,2
191,4,4
192,4,4
193,0,0
194,1,1
195,1,1
196,3,3
197,3,3
198,0,0
199,0,0
200,3,3
201,1,1
202,1,1
203,4,4
204,2,2
205,0,0
206,3,3
207,1,1
208,2,2
209,4,4
210,2,2
211,1,1
212,0,0
213,3,3
214,0,0
215,2,2
216,3,3
217,2,2
218,2,2
219,2,2
220,1,1
221,3,3
222,3,3
223,0,0
224,4,4
225,2,2
226,0,0
227,0,0
228,3,3
229,2,2
230,3,3
231,2,2
232,2,2
233,3,3
234,4,4
235,3,3
236,0,0
237,1,1
238,1,1
239,1,1
240,3,3
241,1,1
242,0,0
243,2,2
244,0,0
245,0,0
246,2,2
247,1,1
248,0,0
249,1,1
250,4,4
251,1,1
252,2,2
253,0,0
254,1,1
255,3,3
256,0,0
257,2,2
258,0,0
259,4,4
260,3,3
261,1,1
262,0,0
263,3,3
264,2,2
265,3,3
266,0,0
267,2,2
268,3,3
269,0,0
270,2,2
271,2,2
272,3,3
273,2,2
274,0,0
275,4,4
276,1,1
277,3,3
278,2,2
279,1,1
280,0,0
281,4,4
282,4,4
283,4,4
284,4,4
285,1,1
286,3,3
287,2,2
288,3,3
289,0,0
290,2,2
291,4,4
292,1,1
